City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,vrangel,42.7297,133.0839,4.84,37,98,3.07,RU,1680920325
85,yeppoon,-23.1333,150.7333,31.88,50,8,1.81,AU,1680920326
86,port hedland,-20.3167,118.5667,33.03,46,16,4.12,AU,1680920326
87,tottori,35.5,134.2333,11.67,52,9,9.34,JP,1680920030
88,clyde river,70.4692,-68.5914,-25.87,76,0,6.17,CA,1680920326
89,isangel,-19.55,169.2667,28.27,69,22,1.67,VU,1680920326
90,whitehorse,60.7161,-135.0538,4.45,44,75,7.2,CA,1680920326
91,saldanha,-33.0117,17.9442,15.12,81,65,8.96,ZA,1680920326
92,charlestown,-32.95,151.6667,25.06,56,15,1.79,AU,1680920246
93,quelimane,-17.8786,36.8883,24.97,94,40,0.0,MZ,1680920327
94,todos santos,23.45,-110.2167,19.81,73,11,2.54,MX,1680920086
95,longyearbyen,78.2186,15.6401,-11.09,73,75,4.63,SJ,1680920117
96,chuy,-33.6971,-53.4616,16.46,75,15,1.65,UY,1680920328
97,caarapo,-22.6342,-54.8222,19.17,97,100,1.8,BR,1680920328
98,bengkulu,-3.8004,102.2655,27.51,70,54,1.31,ID,1680920328
99,inirida,3.8653,-67.9239,24.0,96,100,1.12,CO,1680920328
100,hithadhoo,-0.6,73.0833,28.01,63,72,2.17,MV,1680920328
101,dikson,73.5069,80.5464,-32.08,92,5,3.48,RU,1680920328
102,labuhan,-6.8844,112.2051,27.89,73,100,3.33,ID,1680920329
103,alofi,-19.0595,-169.9187,28.94,70,23,3.6,NU,1680920329
104,mananjary,-21.2167,48.3333,22.83,88,100,1.35,MG,1680920329
105,neiafu,-18.65,-173.9833,29.38,79,75,4.12,TO,1680920329
106,shihezi,44.3,86.0333,11.9,42,97,1.5,CN,1680920329
107,donskoye,45.4552,41.9741,5.07,78,90,1.25,RU,1680920329
108,yokadouma,3.5167,15.05,20.06,95,100,0.96,CM,1680920329
109,praia da vitoria,38.7333,-27.0667,12.14,76,40,4.2,PT,1680920330
110,evensk,61.95,159.2333,-11.86,84,40,0.58,RU,1680920330
111,arlit,18.7369,7.3853,28.13,18,99,3.1,NE,1680920330
112,mercedes,-34.6515,-59.4307,18.25,77,9,3.32,AR,1680920330
113,castro,-24.7911,-50.0119,15.5,98,100,2.8,BR,1680920293
114,vila,42.0304,-8.1588,9.49,45,94,1.42,PT,1680919743
115,cozumel,20.5083,-86.9458,26.64,80,0,3.13,MX,1680920331
116,khatanga,71.9667,102.5,-21.46,94,100,6.3,RU,1680920331
117,pimentel,-6.8367,-79.9342,27.16,83,75,3.09,PE,1680920331
118,zhigansk,66.7697,123.3711,-9.43,92,100,12.46,RU,1680920331
